lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
A,5,198,270.50527734756463,64,5.3,5.4,5.8,2,198,0,0,0,0,0,0
A,5,199,270.5106271028518,64,5.3,5.4,5.8,2,199,0,0,0,0,0,0
A,5,200,270.54172206521014,64,5.3,5.4,48.8,0,200,0,0,0,0,0,0
A,5,201,270.5621895730495,64,5.3,5.4,5.9,2,201,0,0,0,0,0,0
A,5,202,270.5725726544857,64,5.3,5.4,5.8,2,202,0,0,0,0,0,0
A,5,203,270.60145553350435,64,5.3,5.4,6.1,27,203,0,0,0,0,0,0
A,5,204,270.6031772851942,64,5.3,5.3,5.8,2,204,0,0,0,0,0,0
A,5,205,270.61141203641887,64,5.3,5.4,5.8,2,205,0,0,0,0,0,0
A,5,206,270.63353503942506,64,5.3,5.4,6.6,53,206,0,0,0,0,0,0
A,5,207,270.6571163117886,64,5.3,5.4,5.8,2,207,0,0,0,0,0,0
A,5,208,270.6636452496051,64,5.3,5.3,5.8,2,208,0,0,0,0,0,0
A,5,209,270.6935077905654,64,5.3,5.4,5.7,2,209,0,0,0,0,0,0
A,5,210,270.7052416622638,64,5.3,5.3,5.8,2,210,0,0,0,0,0,0
A,5,211,270.7231227874755,64,5.3,5.4,5.7,2,211,0,0,0,0,0,0
A,5,212,270.7234599530699,64,5.3,5.4,5.8,2,212,0,0,0,0,0,0
A,5,213,270.7524907827377,64,5.3,5.4,5.9,2,213,0,0,0,0,0,0
A,5,214,270.7539018630981,64,5.3,5.4,5.8,2,214,0,0,0,0,0,0
A,5,215,270.78118436336524,64,5.3,5.4,5.9,2,215,0,0,0,0,0,0
A,5,216,270.8030768454074,64,5.3,5.4,6.3,42,216,0,0,0,0,0,0
A,5,217,270.80531049966817,64,5.3,5.4,5.7,2,217,0,0,0,0,0,0
A,5,218,270.85275713801377,64,5.3,5.4,5.8,2,218,0,0,0,0,0,0
A,5,219,270.9028086423874,64,5.3,5.4,5.8,2,219,0,0,0,0,0,0
A,5,220,270.9531313061716,64,5.3,5.4,5.9,2,220,0,0,0,0,0,0
A,5,221,271.00374035835273,64,5.3,5.4,7.7,14,221,0,0,0,0,0,0
A,5,222,271.0544894754886,64,5.3,5.4,6.7,14,222,0,0,0,0,0,0
A,5,223,271.1053811609744,64,5.3,5.4,8.1,8,223,0,0,0,0,0,0
A,5,224,271.15636810064314,64,5.3,5.4,6.1,8,224,0,0,0,0,0,0
A,5,225,271.20735141038915,64,5.3,5.4,9.1,10,225,0,0,0,0,0,0
A,5,226,271.2583651363849,64,5.3,5.4,6,57,226,0,0,0,0,0,0
A,5,227,271.3093077659606,64,5.3,5.4,50.3,12,227,0,0,0,0,0,0
A,5,228,271.36016235947625,64,5.3,5.4,5.9,2,228,0,0,0,0,0,0
A,5,229,271.4109251201154,64,5.3,5.4,5.8,2,229,0,0,0,0,0,0
A,5,230,271.46150371432316,64,5.3,5.4,5.8,2,230,0,0,0,0,0,0
A,5,231,271.51193360686295,64,5.3,5.4,5.8,2,231,0,0,0,0,0,0
A,5,232,271.5621550083159,64,5.3,5.4,5.9,2,232,0,0,0,0,0,0
A,5,233,271.6121370434762,64,5.3,5.4,6.1,16,233,0,0,0,0,0,0
A,5,234,271.66190503835685,64,5.3,5.4,5.8,2,234,0,0,0,0,0,0
A,5,235,271.71136682629583,64,5.3,5.4,6.5,56,235,0,0,0,0,0,0
A,5,236,271.76054902672774,64,5.3,5.4,5.8,2,236,0,0,0,0,0,0
A,5,237,271.80945309996594,64,5.3,5.4,5.8,2,237,0,0,0,0,0,0
A,5,238,271.85805572271363,64,5.3,5.4,5.8,2,238,0,0,0,0,0,0
A,5,239,271.90634704828267,64,5.3,5.4,5.8,2,239,0,0,0,0,0,0
A,5,240,271.95431818962084,64,5.3,5.4,5.8,2,240,0,0,0,0,0,0
A,5,241,272.00196151137345,64,5.3,5.4,5.8,2,241,0,0,0,0,0,0
A,5,242,272.04927046298974,64,5.3,5.4,5.8,2,242,0,0,0,0,0,0
A,5,243,272.09623962044714,64,5.3,5.4,5.8,2,243,0,0,0,0,0,0
A,5,244,272.1428643941882,64,5.3,5.4,5.8,2,244,0,0,0,0,0,0
A,5,245,272.18914115428936,64,5.2,5.4,5.7,2,245,0,0,0,0,0,0
A,5,246,272.23506702184693,64,5.3,5.4,5.8,2,246,0,0,0,0,0,0
A,5,247,272.2806400775909,64,5.3,5.4,9.6,3,247,0,0,0,0,0,0
A,5,248,272.32585906982433,64,5.3,5.4,9.5,25,248,0,0,0,0,0,0
A,5,249,272.3707235813141,64,5.3,5.4,5.8,2,249,0,0,0,0,0,0
A,5,250,272.41523357033736,64,5.3,5.4,5.8,2,250,0,0,0,0,0,0
A,5,251,272.45532531738286,64,5.3,5.4,5.8,2,251,0,0,0,0,0,0
A,5,252,272.4857955574988,64,5.3,5.4,5.8,2,252,0,0,0,0,0,0
A,5,253,273.6084401816131,64,5.3,5.9,9.2,5,253,0,0,0,0,0,0
A,5,254,273.6215528190136,64,5.3,5.4,5.9,2,254,0,0,0,0,0,0
A,5,255,273.68795581161976,64,5.3,5.4,5.7,2,255,0,0,0,0,0,0
A,5,256,273.8153027057647,64,5.2,5.3,5.7,2,256,0,0,0,0,0,0
A,5,257,273.84035230278926,64,5.2,5.3,5.8,2,257,0,0,0,0,0,0
A,5,258,273.96743665337556,64,5.2,5.3,5.8,2,258,0,0,0,0,0,0
A,5,259,274.1351564466953,64,5.3,5.4,10,7,259,0,0,0,0,0,0
A,5,260,274.3160987555981,64,5.3,5.3,5.8,2,260,0,0,0,0,0,0
A,5,261,274.4903302550314,64,5.3,5.4,5.8,2,261,0,0,0,0,0,0
A,5,262,274.66211806535716,64,5.3,5.4,5.8,2,262,0,0,0,0,0,0
A,5,263,274.83064057230956,64,5.3,5.3,5.7,2,263,0,0,0,0,0,0
A,5,264,274.9943043649197,64,5.3,5.4,5.8,2,264,0,0,0,0,0,0
A,5,265,275.1527390658854,64,5.3,5.4,6.7,60,265,0,0,0,0,0,0
A,5,266,275.1843705475329,64,5.2,5.4,5.7,2,266,0,0,0,0,0,0
A,5,267,275.18437056839457,64,5.2,5.4,5.8,2,267,0,0,0,0,0,0
A,5,268,275.1843705892562,64,5.2,5.4,8.6,20,268,0,0,0,0,0,0
A,5,269,275.26000683307655,64,5.2,5.8,6.8,51,269,0,0,0,0,0,0
A,5,270,275.3103550732136,64,5.2,5.3,5.7,2,270,0,0,0,0,0,0
A,5,271,275.46072360575204,64,5.3,5.4,6.7,53,271,0,0,0,0,0,0
A,5,272,275.6050840735436,64,5.3,5.7,11.7,27,272,0,0,0,0,0,0
A,5,273,275.7495581537486,64,5.3,5.7,8.7,18,273,0,0,0,0,0,0
A,5,274,275.8048092722893,64,5.3,5.4,7.1,44,274,0,0,0,0,0,0
A,5,275,275.8487251222133,64,5.2,5.3,7,55,275,0,0,0,0,0,0
A,5,276,275.95865174531946,64,5.2,5.4,9.8,18,276,0,0,0,0,0,0
A,5,277,276.1304154813289,64,5.3,5.4,9.1,22,277,0,0,0,0,0,0
A,5,278,276.3073304116723,64,5.2,5.4,5.8,2,278,0,0,0,0,0,0
A,5,279,276.49290496110916,64,5.3,5.3,5.8,2,279,0,0,0,0,0,0
A,5,280,276.68489103913305,64,5.3,5.8,15.5,1,280,0,0,0,0,0,0
A,5,281,276.88175147771847,64,5.2,5.4,5.7,2,281,0,0,0,0,0,0
A,5,282,277.0836132824419,64,5.3,5.4,8.6,24,282,0,0,0,0,0,0
A,5,283,277.28852211534956,64,5.2,5.4,6.6,39,283,0,0,0,0,0,0
A,5,284,277.4965558946134,64,5.2,5.3,9.1,30,284,0,0,0,0,0,0
A,5,285,277.70717749595633,64,5.2,5.3,5.7,2,285,0,0,0,0,0,0
