boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,production_quality,phase_matches,production_minus_reference_temperature_c,production_minus_reference_pressure_mpa,is_finite,boundary_max_liquid_pressure_jump_mpa,boundary_max_liquid_temperature_jump_c,boundary_max_vapor_pressure_jump_mpa,boundary_max_vapor_temperature_jump_c
262,274.66211806535716,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,274.66211806535716,5.915464940975604,0.999999,true,SaturatedMixture,274.6626469901719,5.915542368932831,0.9999997442028915,true,0.0005289248147164471,7.742795722709417E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
262,274.66211806535716,R2-SIDE,REGION-2,SuperheatedVapor,274.66211806535716,5.915405786326195,,true,SuperheatedVapor,274.6612586353315,5.9153867764521,,true,-0.00085943002568456,-1.900987409531041E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
263,274.83064057230956,R1-SIDE,REGION-1,SubcooledLiquid,274.83064057230956,5.930868966071628,,true,SubcooledLiquid,274.8305530093172,5.93112982138001,,true,-8.756299234846665E-05,0.00026085530838138027,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
263,274.83064057230956,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,274.83064057230956,5.930809657975048,1E-06,true,SaturatedMixture,274.8305800719328,5.930834079475081,9.77017592920465E-07,true,-6.050037677596265E-05,2.4421500032900667E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
263,274.83064057230956,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,274.83064057230956,5.930809657975048,0.999999,true,SaturatedMixture,274.83118058144805,5.930888760885022,0.999999761471244,true,0.0005400091384899497,7.910290997426017E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
263,274.83064057230956,R2-SIDE,REGION-2,SuperheatedVapor,274.83064057230956,5.930750349878468,,true,SuperheatedVapor,274.82978091510813,5.930731358808144,,true,-0.0008596572014312187,-1.8991070324325676E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
264,274.9943043649197,R1-SIDE,REGION-1,SubcooledLiquid,274.9943043649197,5.945800496543902,,true,SubcooledLiquid,274.9942802108958,5.945790215982379,,true,-2.415402389033261E-05,-1.0280561522968412E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
264,274.9943043649197,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,274.9943043649197,5.945741039133511,1E-06,true,SaturatedMixture,274.9943013191223,5.945742267280525,9.988400358169873E-07,true,-3.0457973707598285E-06,1.2281470143093998E-06,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
264,274.9943043649197,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,274.9943043649197,5.945741039133511,0.999999,true,SaturatedMixture,274.9943314740584,5.945745013139473,0.9999990381973355,true,2.7109138727610116E-05,3.9740059625259505E-06,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
264,274.9943043649197,R2-SIDE,REGION-2,SuperheatedVapor,274.9943043649197,5.94568158172312,,true,SuperheatedVapor,274.99344372322344,5.945662493241226,,true,-0.0008606416962493313,-1.9088481893803078E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
