sample_id,default_authority,default_reason,shadow_armed_authority,shadow_armed_reason,rollback_required,production_commit_authorized
cooling-pulse:5540,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5554,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5566,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5581,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5594,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5620,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5634,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5658,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5672,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5685,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5709,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5722,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5746,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5758,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5771,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5782,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5794,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5807,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5819,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5841,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5853,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5876,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5890,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5906,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5932,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5946,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5960,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5985,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
cooling-pulse:5999,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:1,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:3,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:196,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:200,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:352,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:360,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:525,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:549,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:555,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:609,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:667,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:720,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:769,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:817,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:847,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:874,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:931,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
load-pulse:989,ExplicitCommittedState,ActivationArmDisabled,CorrectedCandidate,QualifiedTriggeredCorrection,False,False
