candidate_id,probe_id,logical_step,elapsed_s,path_id,from_node,to_node,candidate_resolved,candidate_driving_pa,candidate_flow_kg_s,canonical_flow_kg_s,if97_counterfactual_flow_kg_s,abs_candidate_minus_canonical_flow_kg_s,abs_candidate_minus_if97_flow_kg_s,driving_sign_changed_from_production
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,62784,600,CHANNEL,pressure,outlet,true,-561479.091157361,-149.86381700161797,98.60974108585756,-149.77185084797296,248.47355808747554,0.09196615364501781,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,62784,600,RETURN,outlet,drum,true,452521.18878075277,134.53939033320358,98.55726779984087,134.50139859839527,35.98212253336271,0.037991734808315414,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,62784,600,FEEDWATER-PUMP,feedwater-inventory,drum,true,1099295.1859888053,33.15562072995777,15.70334192093351,33.16292329351062,17.452278809024257,0.00730256355285519,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,68784,660,MCP,suction,pressure,true,1002576.3212338124,141.60341247539287,98.59693104423935,141.60200963372236,43.00648143115352,0.0014028416705116342,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,68784,660,CHANNEL,pressure,outlet,true,-564223.4680572731,-150.22961998983732,98.65176799644979,-150.13299328498942,248.8813879862871,0.0966267048478926,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,68784,660,RETURN,outlet,drum,true,453468.2204516569,134.6800980771334,98.59751138598376,134.60734921949017,36.08258669114964,0.07274885764323358,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,68784,660,FEEDWATER-PUMP,feedwater-inventory,drum,true,1103151.4253704287,33.21372344935793,15.703666507078486,33.219711888245556,17.51005694227944,0.005988438887627012,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,74784,720,MCP,suction,pressure,true,1003396.2810333143,141.66130601073212,98.64537771566397,141.65985409113824,43.01592829506815,0.0014519195938760276,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,74784,720,CHANNEL,pressure,outlet,true,-566117.2761830118,-150.48153058538603,98.70150009586416,-150.38606945746062,249.1830306812502,0.09546112792540384,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,74784,720,RETURN,outlet,drum,true,454456.7754377162,134.82681861376338,98.65933081941434,134.72373057103226,36.16748779434904,0.10308804273111605,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,74784,720,FEEDWATER-PUMP,feedwater-inventory,drum,true,1107104.6378944376,33.27318196227162,15.708868040400247,33.27738591298189,17.564313921871374,0.004203950710270021,false
