lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
B,1,206,270.63353503942506,64,5.05,5.2,5.9,59,206,0,0,0,0,0,0
B,1,207,270.6571163117886,64,5.1,5.1,5.4,3,207,0,0,0,0,0,0
B,1,208,270.6636452496051,64,5.1,5.2,6.9,1,208,0,0,0,0,0,0
B,1,209,270.6935077905654,64,5.1,5.2,5.6,3,209,0,0,0,0,0,0
B,1,210,270.7052416622638,64,5,5.2,7.1,2,210,0,0,0,0,0,0
B,1,211,270.7231227874755,64,5,5.2,6.7,63,211,0,0,0,0,0,0
B,1,212,270.7234599530699,64,5,5.2,5.3,2,212,0,0,0,0,0,0
B,1,213,270.7524907827377,64,5.1,5.1,6.9,1,213,0,0,0,0,0,0
B,1,214,270.7539018630981,64,5.1,5.4,6.7,1,214,0,0,0,0,0,0
B,1,215,270.78118436336524,64,5.1,5.2,7.2,2,215,0,0,0,0,0,0
B,1,216,270.8030768454074,64,5.1,5.1,7.1,2,216,0,0,0,0,0,0
B,1,217,270.80531049966817,64,5.1,5.2,5.3,2,217,0,0,0,0,0,0
B,1,218,270.85275713801377,64,5.1,5.2,6.5,21,218,0,0,0,0,0,0
B,1,219,270.9028086423874,64,5.1,5.3,6.8,1,219,0,0,0,0,0,0
B,1,220,270.9531313061716,64,5.1,5.2,5.6,3,220,0,0,0,0,0,0
B,1,221,271.00374035835273,64,5.1,5.2,7.1,2,221,0,0,0,0,0,0
B,1,222,271.0544894754886,64,5.1,5.2,5.5,2,222,0,0,0,0,0,0
B,1,223,271.1053811609744,64,5,5.2,5.2,2,223,0,0,0,0,0,0
B,1,224,271.15636810064314,64,5,5.3,6.9,1,224,0,0,0,0,0,0
B,1,225,271.20735141038915,64,5,5.5,6.7,1,225,0,0,0,0,0,0
B,1,226,271.2583651363849,64,5.1,5.2,5.4,0,226,0,0,0,0,0,0
