domain,observation_index,source_identity,c3_resolved,c4_resolved,c3_region,c4_region,c3_phase,c4_phase,c3_temperature_bits,c4_temperature_bits,c3_pressure_bits,c4_pressure_bits,c3_quality_has_value,c4_quality_has_value,c3_quality_bits,c4_quality_bits,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
EXACT-V9,59,background-reference|24000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,60,background-reference|24000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071945332249,4561454071945332249,2,true,true
EXACT-V9,61,background-reference|24000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520360448,4643548715520360448,4618399954104525916,4618399954104525916,true,true,4596010126367262607,4596010126367262607,2,true,true
EXACT-V9,62,background-reference|24000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797387330005,4585439797387330005,2,true,true
EXACT-V9,63,background-reference|24000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290402788656,4631884290402788656,4593175440943196738,4593175440943196738,false,false,0,0,2,true,true
EXACT-V9,64,background-reference|30000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,65,background-reference|30000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071945650038,4561454071945650038,2,true,true
EXACT-V9,66,background-reference|30000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520360448,4643548715520360448,4618399954104525916,4618399954104525916,true,true,4596010126359300378,4596010126359300378,2,true,true
EXACT-V9,67,background-reference|30000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797387773705,4585439797387773705,2,true,true
EXACT-V9,68,background-reference|30000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290402640304,4631884290402640304,4593175440927954484,4593175440927954484,false,false,0,0,2,true,true
EXACT-V9,69,background-reference|36000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,70,background-reference|36000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071946072122,4561454071946072122,2,true,true
EXACT-V9,71,background-reference|36000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520360448,4643548715520360448,4618399954104525916,4618399954104525916,true,true,4596010126350592533,4596010126350592533,2,true,true
EXACT-V9,72,background-reference|36000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797388408938,4585439797388408938,2,true,true
EXACT-V9,73,background-reference|36000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290402459904,4631884290402459904,4593175440912775986,4593175440912775986,false,false,0,0,2,true,true
EXACT-V9,74,background-reference|42000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,75,background-reference|42000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071946388295,4561454071946388295,2,true,true
EXACT-V9,76,background-reference|42000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520360448,4643548715520360448,4618399954104525916,4618399954104525916,true,true,4596010126341227776,4596010126341227776,2,true,true
EXACT-V9,77,background-reference|42000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797389064540,4585439797389064540,2,true,true
EXACT-V9,78,background-reference|42000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290402244848,4631884290402244848,4593175440880277888,4593175440880277888,false,false,0,0,2,true,true
EXACT-V9,79,background-reference|48000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,80,background-reference|48000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071946996906,4561454071946996906,2,true,true
EXACT-V9,81,background-reference|48000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520360448,4643548715520360448,4618399954104525916,4618399954104525916,true,true,4596010126329940492,4596010126329940492,2,true,true
EXACT-V9,82,background-reference|48000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797389989643,4585439797389989643,2,true,true
