boundary_index,boundary_temperature_c,lane_run_count,total_calls,median_of_lane_run_medians_us,max_lane_run_p95_us,max_us,total_calls_over_max_ceiling,total_calls_with_gc_activity,total_exceedances_with_gc_activity,total_nonzero_allocation_calls,total_fallback_calls
255,273.68795581161976,10,640,5.25,18.5,22.9,0,0,0,0,0
256,273.81530270576468,10,640,5.2,18.5,22.8,0,0,0,0,0
257,273.84035230278926,10,640,5.2,18.5,29.3,0,0,0,0,0
258,273.96743665337556,10,640,5.2,18.5,22.8,0,0,0,0,0
259,274.13515644669531,10,640,5.25,18.5,22.8,0,0,0,0,0
260,274.31609875559809,10,640,5.25,18.5,22.9,0,0,0,0,0
261,274.49033025503138,10,640,5.25,19.5,22.9,0,0,0,0,0
262,274.66211806535716,10,640,5.25,18.5,22.8,0,0,0,0,0
263,274.83064057230956,10,640,5.25,18.5,22.7,0,0,0,0,0
264,274.99430436491969,10,640,5.25,18.6,22.8,0,0,0,0,0
265,275.15273906588538,10,640,5.25,18.4,22.8,0,0,0,0,0
266,275.18437054753292,10,640,5.2,18.5,22,0,0,0,0,0
267,275.18437056839457,10,640,5.2,18.4,18.7,0,0,0,0,0
268,275.18437058925622,10,640,5.2,18.3,18.5,0,0,0,0,0
269,275.26000683307655,10,640,5.2,18.3,27.2,0,0,0,0,0
270,275.3103550732136,10,640,5.2,18.4,18.9,0,0,0,0,0
271,275.46072360575204,10,640,5.25,18.5,20.1,0,0,0,0,0
272,275.60508407354359,10,640,5.3,18.4,22.3,0,0,0,0,0
273,275.74955815374858,10,640,5.25,18.5,24.9,0,0,0,0,0
274,275.80480927228928,10,640,5.25,18.5,25,0,0,0,0,0
275,275.8487251222133,10,640,5.2,18.4,24.8,0,0,0,0,0
276,275.95865174531946,10,640,5.2,18.5,24.9,0,0,0,0,0
277,276.1304154813289,10,640,5.25,18.5,28.6,0,0,0,0,0
278,276.3073304116723,10,640,5.2,18.6,27.5,0,0,0,0,0
279,276.49290496110916,10,640,5.25,18.5,24.9,0,0,0,0,0
280,276.68489103913305,10,640,5.25,18.5,24.8,0,0,0,0,0
281,276.88175147771847,10,640,5.2,18.5,24.8,0,0,0,0,0
282,277.08361328244189,10,640,5.25,18.5,24.8,0,0,0,0,0
283,277.28852211534956,10,640,5.2,18.4,24.8,0,0,0,0,0
284,277.49655589461338,10,640,5.2,18.4,42.4,0,0,0,0,0
285,277.70717749595633,10,640,5.2,18.5,24.9,0,0,0,0,0
286,277.91910545229928,10,640,5.2,18.4,24.7,0,0,0,0,0
287,278.13301288485525,10,640,5.2,18.4,24.7,0,0,0,0,0
288,278.34757220149038,10,640,5.2,18.5,24.8,0,0,0,0,0
289,278.56269953846925,10,640,5.2,18.5,24.7,0,0,0,0,0
290,278.77853245735173,10,640,5.2,18.5,24.9,0,0,0,0,0
291,278.99378421306585,10,640,5.2,19.7,24.7,0,0,0,0,0
292,279.20919802188894,10,640,5.2,19.4,24.7,0,0,0,0,0
293,279.42397137880334,10,640,5.2,18.5,24.7,0,0,0,0,0
294,279.63773699402816,10,640,5.2,18.4,24.8,0,0,0,0,0
295,279.85106822848309,10,640,5.2,19.7,24.6,0,0,0,0,0
296,280,10,640,3.9,15.2,20.4,0,0,0,0,0
297,280.0627813100815,10,640,5.2,18.5,24.7,0,0,0,0,0
298,280.27348619103429,10,640,5.2,19.6,24.6,0,0,0,0,0
299,280.48288751244525,10,640,5.2,19.6,26.4,0,0,0,0,0
300,280.69031586647031,10,640,5.2,20.6,28.2,0,0,0,0,0
301,280.89631503224348,10,640,5.2,19.6,24.7,0,0,0,0,0
302,281.10068123340591,10,640,5.2,18.4,24.6,0,0,0,0,0
303,281.30328804850581,10,640,5.15,18.3,24.6,0,0,0,0,0
304,281.50406717658041,10,640,5.15,18.4,24.6,0,0,0,0,0
305,281.70296007990862,10,640,5.2,18.4,24.6,0,0,0,0,0
306,281.8999184429648,10,640,5.15,18.4,24.5,0,0,0,0,0
307,282.0949025034904,10,640,5.2,18.3,24.6,0,0,0,0,0
308,282.28788021802904,10,640,5.125,18.5,25.2,0,0,0,0,0
309,282.47882638573662,10,640,5.1,18.3,24.5,0,0,0,0,0
310,282.66772218942663,10,640,5.15,18.3,24.5,0,0,0,0,0
311,282.85455999374392,10,640,5.125,18.3,24.5,0,0,0,0,0
312,283.03934067487717,10,640,5.15,18.2,22.6,0,0,0,0,0
313,283.22206911444653,10,640,5.1,18.2,22.5,0,0,0,0,0
314,283.40275340676328,10,640,5.1,18.3,22.6,0,0,0,0,0
315,283.581404775381,10,640,5.1,18.2,22.5,0,0,0,0,0
316,283.75422302484503,10,640,5.1,18.3,33.3,0,0,0,0,0
317,283.8935488522053,10,640,5.1,18.3,29.5,0,0,0,0,0
318,300,10,640,4,15.7,19.5,0,0,0,0,0
319,340,10,640,4.275,16.4,20.1,0,0,0,0,0
